time,dipole
0.000000000000000000e+00,-5.973670307739240570e-01
2.500000000000000139e-02,-5.981576643694834772e-01
5.000000000000000278e-02,-5.989426915394118200e-01
7.499999999999999722e-02,-5.997220841483441589e-01
9.999999999999999167e-02,-6.004958101008376348e-01
1.249999999999999861e-01,-6.012638467263566877e-01
1.499999999999999944e-01,-6.020261834023608039e-01
1.750000000000000167e-01,-6.027828204837784032e-01
2.000000000000000389e-01,-6.035337679362067220e-01
2.250000000000000611e-01,-6.042790444100706315e-01
2.500000000000000555e-01,-6.050186765524592225e-01
2.750000000000000777e-01,-6.057526980395095961e-01
3.000000000000000999e-01,-6.064811476273666013e-01
3.250000000000001221e-01,-6.072040654455475028e-01
3.500000000000001443e-01,-6.079214874719103268e-01
3.750000000000001665e-01,-6.086334398025061709e-01
4.000000000000001887e-01,-6.093399361256329749e-01
4.250000000000002109e-01,-6.100409812488860606e-01
4.500000000000002331e-01,-6.107365803318666186e-01
4.750000000000002554e-01,-6.114267509480115770e-01
5.000000000000002220e-01,-6.121115345947027997e-01
5.250000000000001332e-01,-6.127910034684693752e-01
5.500000000000000444e-01,-6.134652548181995790e-01
5.749999999999999556e-01,-6.141343790866387042e-01
5.999999999999998668e-01,-6.147983925108202463e-01
6.249999999999997780e-01,-6.154571671758271023e-01
6.499999999999996891e-01,-6.161104398922450098e-01
6.749999999999996003e-01,-6.167579173535613357e-01
6.999999999999995115e-01,-6.173993763623503161e-01
7.249999999999994227e-01,-6.180346863301723337e-01
7.499999999999993339e-01,-6.186637814103130850e-01
7.749999999999992450e-01,-6.192866287022308347e-01
7.999999999999991562e-01,-6.199032091529316224e-01
8.249999999999990674e-01,-6.205135089417923577e-01
8.499999999999989786e-01,-6.211175161813284884e-01
8.749999999999988898e-01,-6.217152197637925148e-01
8.999999999999988010e-01,-6.223066089704016868e-01
9.249999999999987121e-01,-6.228916733350774448e-01
9.499999999999986233e-01,-6.234704025921584680e-01
9.749999999999985345e-01,-6.240427866052855599e-01
9.999999999999984457e-01,-6.246088153804785215e-01
1.024999999999998357e+00,-6.251684790795916102e-01
1.049999999999998268e+00,-6.257217680260942494e-01
1.074999999999998179e+00,-6.262686727087980465e-01
1.099999999999998090e+00,-6.268091832898796678e-01
1.124999999999998002e+00,-6.273432897380764039e-01
1.149999999999997913e+00,-6.278709819972242423e-01
1.174999999999997824e+00,-6.283922501048324616e-01
1.199999999999997735e+00,-6.289070842644020054e-01
1.224999999999997646e+00,-6.294154744457286510e-01
1.249999999999997558e+00,-6.299174105245913813e-01
1.274999999999997469e+00,-6.304128824444626966e-01
1.299999999999997380e+00,-6.309018803265089570e-01
1.324999999999997291e+00,-6.313843945341086616e-01
1.349999999999997202e+00,-6.318604157076215255e-01
1.374999999999997113e+00,-6.323299347814981264e-01
1.399999999999997025e+00,-6.327929429911801629e-01
1.424999999999996936e+00,-6.332494318726488158e-01
1.449999999999996847e+00,-6.336993932600121227e-01
1.474999999999996758e+00,-6.341428192807910813e-01
1.499999999999996669e+00,-6.345797023516022151e-01
1.524999999999996581e+00,-6.350100348191063393e-01
1.549999999999996492e+00,-6.354338090486355561e-01
1.574999999999996403e+00,-6.358510175397615871e-01
1.599999999999996314e+00,-6.362616530062892295e-01
1.624999999999996225e+00,-6.366657084232654196e-01
1.649999999999996136e+00,-6.370631770508878855e-01
1.674999999999996048e+00,-6.374540524457186219e-01
1.699999999999995959e+00,-6.378383284641311324e-01
1.724999999999995870e+00,-6.382159986298217014e-01
1.749999999999995781e+00,-6.385870562997184585e-01
1.774999999999995692e+00,-6.389514948743486578e-01
1.799999999999995604e+00,-6.393093079429117420e-01
1.824999999999995515e+00,-6.396604893704691541e-01
1.849999999999995426e+00,-6.400050333443325634e-01
1.874999999999995337e+00,-6.403429343978127575e-01
1.899999999999995248e+00,-6.406741874170182038e-01
1.924999999999995159e+00,-6.409987876394740436e-01
1.949999999999995071e+00,-6.413167306506203369e-01
1.974999999999994982e+00,-6.416280123775164324e-01
1.999999999999994893e+00,-6.419326290807518820e-01
2.024999999999995026e+00,-6.422305655118323298e-01
2.049999999999995381e+00,-6.425218001620203179e-01
2.074999999999995737e+00,-6.428063093282982976e-01
2.099999999999996092e+00,-6.430840692339780951e-01
2.124999999999996447e+00,-6.433550387082020983e-01
2.149999999999996803e+00,-6.436191637443020586e-01
2.174999999999997158e+00,-6.438763852731750337e-01
2.199999999999997513e+00,-6.441266452868700254e-01
2.224999999999997868e+00,-6.443698906594973463e-01
2.249999999999998224e+00,-6.446060751099969011e-01
2.274999999999998579e+00,-6.448351598724437750e-01
2.299999999999998934e+00,-6.450571135061895500e-01
2.324999999999999289e+00,-6.452719111666171958e-01
2.349999999999999645e+00,-6.454795170479257216e-01
2.375000000000000000e+00,-6.456798865238868590e-01
2.400000000000000355e+00,-6.458729709319391832e-01
2.425000000000000711e+00,-6.460587210507617861e-01
2.450000000000001066e+00,-6.462370883289708656e-01
2.475000000000001421e+00,-6.464080240544261002e-01
2.500000000000001776e+00,-6.465714768203300045e-01
2.525000000000002132e+00,-6.467273884916320270e-01
2.550000000000002487e+00,-6.468756887975831704e-01
2.575000000000002842e+00,-6.470162887574970600e-01
2.600000000000003197e+00,-6.471490737828110573e-01
2.625000000000003553e+00,-6.472738993389616224e-01
2.650000000000003908e+00,-6.473905963351823667e-01
2.675000000000004263e+00,-6.474989988908389504e-01
2.700000000000004619e+00,-6.475990005328978727e-01
2.725000000000004974e+00,-6.476905876161563880e-01
2.750000000000005329e+00,-6.477738089485514106e-01
2.775000000000005684e+00,-6.478487130414027906e-01
2.800000000000006040e+00,-6.479152868569098001e-01
2.825000000000006395e+00,-6.479734187708567905e-01
2.850000000000006750e+00,-6.480229150415417472e-01
2.875000000000007105e+00,-6.480635356349357945e-01
2.900000000000007461e+00,-6.480950321709246786e-01
2.925000000000007816e+00,-6.481172062344953133e-01
2.950000000000008171e+00,-6.481299893582946892e-01
2.975000000000008527e+00,-6.481334869538237786e-01
3.000000000000008882e+00,-6.481279146155440873e-01
3.025000000000009237e+00,-6.481134655832081481e-01
3.050000000000009592e+00,-6.480902320785204562e-01
3.075000000000009948e+00,-6.480582161275831865e-01
3.100000000000010303e+00,-6.480173686600172456e-01
3.125000000000010658e+00,-6.479676088889322338e-01
3.150000000000011013e+00,-6.479088242267461162e-01
3.175000000000011369e+00,-6.478408674926678934e-01
3.200000000000011724e+00,-6.477635542739347274e-01
3.225000000000012079e+00,-6.476766464042974514e-01
3.250000000000012434e+00,-6.475798355350856905e-01
3.275000000000012790e+00,-6.474727565950663122e-01
3.300000000000013145e+00,-6.473550344700643722e-01
3.325000000000013500e+00,-6.472263132101645500e-01
3.350000000000013856e+00,-6.470862968380395319e-01
3.375000000000014211e+00,-6.469347885455785097e-01
3.400000000000014566e+00,-6.467716391679527721e-01
3.425000000000014921e+00,-6.465965992494774328e-01
